WARNING 2025-06-25 20:23:53,703 log Not Found: /checkin/community/
WARNING 2025-06-25 20:23:53,705 basehttp "GET /checkin/checkins/ HTTP/1.1" 404 3357
WARNING 2025-06-25 20:23:53,705 basehttp "GET /checkin/community/ HTTP/1.1" 404 3360
INFO 2025-06-25 20:23:57,456 basehttp "GET /forum/posts/user/ HTTP/1.1" 200 2
INFO 2025-06-25 20:23:57,456 basehttp "GET /forum/posts/?school_id=1 HTTP/1.1" 200 2
INFO 2025-06-25 20:24:00,936 basehttp "GET /forum/posts/?school_id=1 HTTP/1.1" 200 2
INFO 2025-06-25 20:24:00,949 basehttp "GET /forum/posts/user/ HTTP/1.1" 200 2
WARNING 2025-06-25 20:24:03,811 log Unauthorized: /chat/room/1/
WARNING 2025-06-25 20:24:03,812 basehttp "GET /chat/room/1/ HTTP/1.1" 401 37
WARNING 2025-06-25 20:24:12,208 log Unauthorized: /chat/room/1/
WARNING 2025-06-25 20:24:12,209 basehttp "GET /chat/room/1/ HTTP/1.1" 401 37
WARNING 2025-06-25 20:24:19,793 log Unauthorized: /chat/room/1/
WARNING 2025-06-25 20:24:19,793 basehttp "GET /chat/room/1/ HTTP/1.1" 401 37
WARNING 2025-06-25 20:24:24,703 log Unauthorized: /chat/room/1/
WARNING 2025-06-25 20:24:24,705 basehttp "GET /chat/room/1/ HTTP/1.1" 401 37
INFO 2025-06-25 20:29:34,715 autoreload Watching for file changes with StatReloader
INFO 2025-06-25 20:29:48,711 basehttp "GET /accounts/ HTTP/1.1" 200 72428
INFO 2025-06-25 20:29:49,324 basehttp "GET /accounts/profile/ HTTP/1.1" 200 141
WARNING 2025-06-25 20:29:49,328 log Not Found: /checkin/checkins/
WARNING 2025-06-25 20:29:49,332 log Not Found: /checkin/community/
WARNING 2025-06-25 20:29:49,332 basehttp "GET /checkin/checkins/ HTTP/1.1" 404 3357
INFO 2025-06-25 20:29:49,332 basehttp "GET /forum/api/schools/ HTTP/1.1" 200 258
WARNING 2025-06-25 20:29:49,332 basehttp "GET /checkin/community/ HTTP/1.1" 404 3360
WARNING 2025-06-25 20:29:49,353 log Not Found: /checkin/checkins/
WARNING 2025-06-25 20:29:49,355 log Not Found: /checkin/community/
WARNING 2025-06-25 20:29:49,356 basehttp "GET /checkin/checkins/ HTTP/1.1" 404 3357
WARNING 2025-06-25 20:29:49,356 basehttp "GET /checkin/community/ HTTP/1.1" 404 3360
INFO 2025-06-25 20:29:52,113 basehttp "GET /forum/posts/?school_id=1 HTTP/1.1" 200 2
INFO 2025-06-25 20:29:52,113 basehttp "GET /forum/posts/user/ HTTP/1.1" 200 2
WARNING 2025-06-25 20:29:53,072 log Unauthorized: /chat/room/1/
WARNING 2025-06-25 20:29:53,073 basehttp "GET /chat/room/1/ HTTP/1.1" 401 37
INFO 2025-06-25 20:30:33,400 basehttp "POST /forum/posts/create/ HTTP/1.1" 200 328
WARNING 2025-06-25 20:30:37,811 log Forbidden: /post_28.html
WARNING 2025-06-25 20:30:37,812 basehttp "GET /post_28.html HTTP/1.1" 403 27
INFO 2025-06-25 20:30:41,561 basehttp "GET /forum/posts/?school_id=1 HTTP/1.1" 200 2
INFO 2025-06-25 20:30:41,563 basehttp "GET /forum/posts/user/ HTTP/1.1" 200 216
INFO 2025-06-25 20:30:59,828 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2025-06-25 20:30:59,841 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4368
INFO 2025-06-25 20:31:00,175 basehttp "GET /static/admin/simpleui-x/fontawesome-free-6.2.0-web/css/all.min.css HTTP/1.1" 200 101784
INFO 2025-06-25 20:31:00,180 basehttp "GET /static/admin/simpleui-x/elementui/umd/locale/en.js?_=2025.06.24 HTTP/1.1" 200 3516
INFO 2025-06-25 20:31:00,183 basehttp "GET /static/admin/simpleui-x/js/login.js?_=3.3 HTTP/1.1" 200 669
INFO 2025-06-25 20:31:00,184 basehttp "GET /static/admin/simpleui-x/css/login.css?_=2.1 HTTP/1.1" 200 500
INFO 2025-06-25 20:31:00,187 basehttp "GET /static/admin/simpleui-x/particles/particles.js HTTP/1.1" 200 51264
INFO 2025-06-25 20:31:00,189 basehttp "GET /static/admin/simpleui-x/particles/app.js HTTP/1.1" 200 3728
INFO 2025-06-25 20:31:00,192 basehttp "GET /static/admin/simpleui-x/elementui/theme-chalk/index.css HTTP/1.1" 200 240033
INFO 2025-06-25 20:31:00,194 basehttp "GET /static/admin/simpleui-x/img/logo.png HTTP/1.1" 200 115997
INFO 2025-06-25 20:31:00,195 basehttp "GET /static/admin/simpleui-x/js/vue.min.js?_=2025.06.24 HTTP/1.1" 200 93675
INFO 2025-06-25 20:31:00,203 basehttp "GET /static/admin/simpleui-x/img/bg.svg HTTP/1.1" 200 9547
INFO 2025-06-25 20:31:00,215 basehttp "GET /static/admin/simpleui-x/elementui/index.js?_=2025.06.24 HTTP/1.1" 200 664912
INFO 2025-06-25 20:31:00,272 basehttp "GET /static/admin/simpleui-x/fontawesome-free-6.2.0-web/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150472
WARNING 2025-06-25 20:32:03,526 log Forbidden: /post_28.html
WARNING 2025-06-25 20:32:03,527 basehttp "GET /post_28.html HTTP/1.1" 403 27
